,ID,Account,Molecule,Winning_price_per_standard_unit,Province,Region,Tender_Type,Length_of_contract_in_Months,Presentation,Start_date
161,801,Account11,Molecule3,0.884,Provice1,Region1,Tender Type1,48,Presentation10,2013-01-05
162,803,Account43,Molecule3,0.98,Provice43,Region20,Tender Type1,36,Presentation10,2013-01-06
163,806,Account49,Molecule3,1.0,Provice16,Region14,Tender Type1,24,Presentation10,2013-06-06
164,808,Account49,Molecule3,1.0,Provice16,Region14,Tender Type1,24,Presentation10,2013-06-06
165,811,Account27,Molecule3,1.08,Provice14,Region12,Tender Type3,48,Presentation10,2013-06-21
166,813,Account112,Molecule3,0.859,Provice2,Region2,Tender Type3,12,Presentation10,2014-01-01
167,814,Account58,Molecule3,0.978,Provice1,Region1,Tender Type4,12,Presentation10,2014-01-02
168,816,Account28,Molecule3,0.87,Provice17,Region15,Tender Type3,48,Presentation10,2014-02-21
169,820,Account28,Molecule3,0.88,Provice17,Region15,Tender Type3,48,Presentation10,2014-02-21
170,824,Account84,Molecule3,0.968,Provice18,Region5,Tender Type3,36,Presentation10,2014-12-03
171,826,Account107,Molecule3,0.943,Provice19,Region16,Tender Type1,36,Presentation10,2014-01-05
172,830,Account31,Molecule3,0.914,Provice20,Region17,Tender Type3,24,Presentation10,2014-05-30
173,832,Account80,Molecule3,1.29,Provice24,Region1,Tender Type1,36,Presentation10,2014-01-07
174,836,Account91,Molecule3,1.013,Provice10,Region9,Tender Type3,36,Presentation10,2014-07-08
175,838,Account29,Molecule3,0.898,Provice1,Region1,Tender Type1,12,Presentation10,2014-08-15
176,844,Account23,Molecule3,0.988,Provice22,Region5,Tender Type3,36,Presentation10,2015-12-01
177,845,Account27,Molecule3,0.934,Provice14,Region12,Tender Type3,36,Presentation10,2015-12-02
178,849,Account109,Molecule3,,Provice8,Region7,Tender Type1,24,Presentation10,2015-03-16
179,852,Account109,Molecule3,,Provice8,Region7,Tender Type1,24,Presentation10,2015-03-16
180,853,Account102,Molecule3,1.35,Provice24,Region1,Tender Type4,36,Presentation10,2015-04-29
181,857,Account110,Molecule3,,Provice8,Region7,Tender Type1,24,Presentation10,2015-05-25
182,859,Account58,Molecule3,,Provice1,Region1,Tender Type4,12,Presentation10,2015-01-07
183,860,Account20,Molecule3,0.845,Provice25,Region1,Tender Type3,48,Presentation10,2016-01-01
184,862,Account20,Molecule3,0.845,Provice25,Region1,Tender Type3,48,Presentation10,2016-01-01
204,883,Account7,Molecule3,5.6585,Provice3,Region3,Tender Type4,3,Presentation11,2009-03-31
208,887,Account105,Molecule3,4.79,Provice4,Region4,Tender Type1,12,Presentation11,2009-06-30
211,891,Account89,Molecule3,4.13,Provice35,Region19,Tender Type4,23,Presentation11,2009-08-24
217,903,Account61,Molecule3,4.85,Provice25,Region1,Tender Type1,48,Presentation11,2010-01-01
218,904,Account113,Molecule3,2.9,Provice8,Region7,Tender Type2,12,Presentation11,2010-01-01
219,908,Account82,Molecule3,3.03,Provice44,Region5,Tender Type1,36,Presentation11,2010-01-02
220,909,Account97,Molecule3,4.14,Provice1,Region1,Tender Type1,48,Presentation11,2010-01-02
221,913,Account20,Molecule3,3.18,Provice25,Region1,Tender Type1,48,Presentation11,2010-01-04
222,916,Account36,Molecule3,2.63,Provice46,Region2,Tender Type1,36,Presentation11,2010-01-04
223,919,Account63,Molecule3,2.03899,Provice2,Region2,Tender Type1,12,Presentation11,2010-01-04
224,923,Account22,Molecule3,2.04,Provice20,Region17,Tender Type1,36,Presentation11,2010-04-27
225,930,Account14,Molecule3,2.501,Provice1,Region1,Tender Type1,36,Presentation11,2010-01-05
226,935,Account27,Molecule3,1.65,Provice14,Region12,Tender Type1,36,Presentation11,2011-01-02
227,946,Account19,Molecule3,,Provice5,Region1,Tender Type3,48,Presentation11,2011-05-18
228,955,Account19,Molecule3,,Provice5,Region1,Tender Type3,48,Presentation11,2011-05-18
229,956,Account73,Molecule3,1.57,Provice28,Region18,Tender Type1,36,Presentation11,2011-05-31
230,965,Account109,Molecule3,,Provice8,Region7,Tender Type1,24,Presentation11,2012-12-01
231,969,Account5,Molecule3,1.0,Provice36,Region1,Tender Type1,36,Presentation11,2012-07-05
232,970,Account109,Molecule3,0.87004,Provice8,Region7,Tender Type1,15,Presentation11,2012-10-26
233,974,Account19,Molecule3,0.98,Provice5,Region1,Tender Type3,31,Presentation11,2012-10-28
234,981,Account27,Molecule3,0.87004,Provice14,Region12,Tender Type3,24,Presentation11,2013-01-02
235,986,Account76,Molecule3,0.885,Provice49,Region3,Tender Type3,36,Presentation11,2013-05-20
236,988,Account108,Molecule3,1.1,Provice4,Region4,Tender Type3,36,Presentation11,2014-01-01
237,991,Account31,Molecule3,0.845,Provice20,Region17,Tender Type3,24,Presentation11,2014-05-30
238,995,Account73,Molecule3,0.882,Provice28,Region18,Tender Type3,26,Presentation11,2014-06-06
239,998,Account95,Molecule3,0.875,Provice21,Region6,Tender Type3,24,Presentation11,2014-01-11
240,1003,Account23,Molecule3,0.948,Provice22,Region5,Tender Type3,36,Presentation11,2015-12-01
241,1008,Account27,Molecule3,1.0,Provice14,Region12,Tender Type3,36,Presentation11,2015-12-02
242,1013,Account112,Molecule3,1.26546,Provice2,Region2,Tender Type3,9,Presentation11,2015-06-04
243,1019,Account19,Molecule3,0.94,Provice5,Region1,Tender Type3,12,Presentation11,2015-05-31
244,1023,Account33,Molecule3,1.39,Provice1,Region1,Tender Type3,36,Presentation11,2015-06-06
